nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19116209,756102,América
Estados Unidos,331002651,9833517,América
Canadá,38005238,9984670,América
México,128932753,1964375,América
Japón,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,273523615,1904569,Asia
Arabia Saudita,34813871,2149690,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,59554023,301340,Europa
Reino Unido,67886011,242495,Europa
Rusia,145912025,17098242,Europa
Noruega,5421241,385207,Europa
Egipto,102334404,1001450,África
Nigeria,206139589,923768,África
Sudáfrica,59308690,1221037,África
Kenia,53771296,580367,África
Marruecos,36910560,446550,África
Australia,25687041,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
